country-alpha3,country-name,mediacloud-tags-id,geonames-id,sampled-count
CIV,Republic of CÌ«te d‰ÛªIvoire,8880763,2287781,0.0002
GIN,Republic of Guinea,8880898,2420477,0.0002
NPL,Federal Democratic Republic of Nepal,8880949,1282988,0.0002
BHR,Kingdom of Bahrain,8881218,290291,0.0002
TKM,Turkmenistan,8883670,1218197,0.0002
MAC,Macau Special Administrative Region,8892285,1821275,0.0002
CAF,Central African Republic,8881721,239880,0.0001
PAN,Republic of Panama,8879660,3703430,0.0001
KGZ,Kyrgyz Republic,8882064,1527747,0.0001
MWI,Republic of Malawi,8882402,927384,0.0001
CYP,Republic of Cyprus,8882426,146669,0.0001
BWA,Republic of Botswana,8884520,933860,0.0001
GGY,Bailiwick of Guernsey,8884734,3042362,0.0001
BIH,Bosnia and Herzegovina,8879184,3277605,0.0001
SJM,Svalbard and Jan Mayen,8886183,607072,0.0001
FSM,Federated States of Micronesia,8887960,2081918,0.0001
PNG,Independent State of Papua New Guinea,8879045,2088628,0.0001
ISL,Republic of Iceland,8878986,2629691,0.0001
URY,Oriental Republic of Uruguay,8878856,3439705,0.0001
DZA,People‰Ûªs Democratic Republic of Algeria,8878799,2589581,0.0001
RWA,Republic of Rwanda,8878646,49518,0.0001
ECU,Republic of Ecuador,8878512,3658394,0.0001
HND,Republic of Honduras,8880600,3608932,0.0001
OMN,Sultanate of Oman,8880738,286963,0.0001
VGB,British Virgin Islands,8880308,3577718,0.0001
GLP,Guadeloupe,8880748,3579143,0.0001
MAF,Saint-Martin,8880301,3578421,0.0001
TCD,Republic of Chad,8880820,2434508,0.0001
LIE,Principality of Liechtenstein,8881069,3042058,0.0001
GRL,Greenland,8880004,3425505,0.0001
FJI,Republic of Fiji,8879981,2205218,0.0001
TTO,Republic of Trinidad and Tobago,8879978,3573591,0.0001
NAM,Republic of Namibia,8881331,3355338,0.0001
SSD,South Sudan,8881371,7909807,0.0001
BDI,Republic of Burundi,8881510,433561,0.0001
BGR,Republic of Bulgaria,8879934,732800,0.0001
MLI,Republic of Mali,8881631,2453866,0.0001
PRY,Republic of Paraguay,8879878,3437598,0.0001
