Rank,Country (or dependent territory),Population
,Singapore,100
,United States,99
,Canada,72
,Philippines,68
,United Kingdom,65
,Ireland,63
,Australia,62
,Norway,57
,Denmark,54
,South Africa,53
,Qatar,50
,New Zealand,48
,Switzerland,45
,Austria,41
,Germany,38
,Hong Kong,36
,Belgium,33
,United Arab Emirates,33
,Sweden,32
,France,31
,Italy,28
,Nigeria,23
,Kenya,23
,Netherlands,23
,Malaysia,22
,Israel,21
,Czechia,20
,Portugal,18
,Romania,18
,Finland,17
,India,17
,South Korea,17
,Pakistan,14
,Greece,13
,Poland,9
,Mexico,7
,Spain,7
,Saudi Arabia,7
,Brazil,6
,Taiwan,6
,Thailand,5
,Indonesia,4
,Japan,3
,Russian Federation,2
